Date,Open,High,Low,Close,pivot-high,pivot-low
2025-08-07,632.6116453,633.3474155,625.5223014,628.6444092,,
2025-08-08,630.4440623,634.0136159,630.1258799,633.5462646,,
2025-08-11,633.8247136,635.3062067,631.0406329,632.293457,,
2025-08-12,634.6499095,639.1839022,633.1584638,639.0248413,,
2025-08-13,641.232186,642.5049155,639.0149226,641.2123413,642.5049155,
2025-08-14,639.1242568,641.9381348,638.6768716,641.2719727,,
2025-08-15,642.3060145,642.4054806,638.8558325,639.7705688,,
2025-08-18,639.1939155,640.3274289,638.5178006,639.6314087,,
2025-08-19,639.452376,640.4367205,634.8388227,636.1612549,,
2025-08-20,635.7536294,636.0120957,629.3404006,634.4709473,,629.3404006
2025-08-21,632.6514764,634.3317805,630.1955307,631.9255981,,
2025-08-22,634.1230119,642.81316,633.6159106,641.6299438,,
2025-08-25,640.3671452,641.6100167,638.6867805,638.8060913,,
2025-08-26,638.537693,641.8288144,637.9112809,641.4807739,,
2025-08-27,640.8941331,643.678153,640.7449642,642.9423828,,
2025-08-28,643.5488874,645.7761033,641.6597592,645.2192993,,
2025-08-29,643.7775812,644.145527,639.472318,641.3713989,,
2025-09-02,633.8644906,636.8374296,631.2991867,636.6187134,,631.2991867
2025-09-03,639.0049424,640.5361989,636.8075845,640.0688477,,
2025-09-04,640.7450038,645.4480709,639.84022,645.4182129,,
2025-09-05,647.7646994,648.4905776,639.6612139,643.5488892,,
2025-09-08,644.9210585,646.1341327,643.5389708,645.1298828,,
2025-09-09,645.2689866,647.1482228,643.5289666,646.6212769,,
2025-09-10,649.8924718,650.8171608,646.9195331,648.4905396,,
2025-09-11,650.4493621,654.5757199,649.8627607,653.8796997,,
2025-09-12,653.8497465,655.3511448,653.1537871,653.6608276,,
2025-09-15,655.878214,657.2701937,655.579937,657.1409302,,
2025-09-16,657.6977328,658.0060231,655.4506721,656.236145,,
2025-09-17,656.2461211,657.9463305,650.5686621,655.4208374,,
2025-09-18,658.1153303,661.0982216,656.5045738,658.4832153,,
2025-09-19,660.37867,662.5921003,658.4244227,661.7446289,,
2025-09-22,660.2490221,665.3239917,660.2190813,664.8753662,,
2025-09-23,664.7557114,665.3739408,660.0296859,661.2561035,665.3739408,
2025-09-24,662.5522091,662.6518901,657.7264421,659.1522217,,
2025-09-25,656.0016058,657.4672457,652.4819765,656.1112671,,652.4819765
2025-09-26,657.5669863,660.4185457,655.9417837,659.8701782,,
2025-09-29,662.4026597,663.319993,659.9100252,661.7246704,,
2025-09-30,660.9768603,664.6859321,659.660742,664.2172852,,
2025-10-01,661.2161784,667.3979243,661.106517,666.4806519,,
2025-10-02,668.4747085,668.5943501,664.8155383,667.248291,,
2025-10-03,668.0160736,670.6981508,666.1914481,667.2384033,,
2025-10-06,669.6412669,670.5286594,667.4876575,669.6312866,,
2025-10-07,670.5585275,671.0072139,665.7028805,667.1486206,,
2025-10-08,668.2753327,671.226634,667.447761,671.1268921,,
2025-10-09,671.5456907,671.954456,667.2384109,669.1826172,,
2025-10-10,670.1497522,671.9643973,650.916607,651.0960693,671.9643973,650.916607
2025-10-13,658.7036355,663.1704171,657.8262232,661.0865479,,
2025-10-14,655.2338408,663.8683609,651.2456255,660.2789307,,
2025-10-15,664.8554292,668.255356,656.9886601,663.2102661,,
2025-10-16,664.85545,666.7398964,655.1740353,658.6936646,,
2025-10-17,657.5570093,663.7985761,656.2010307,662.4326172,,
2025-10-20,665.3539499,670.2295576,665.3041094,669.3222046,,
2025-10-21,669.4617772,671.0071984,668.0060568,669.3121948,,
2025-10-22,670.0201577,670.0201577,661.3457774,665.8325195,,
2025-10-23,666.1515933,670.7280971,665.8325288,669.7808838,,
2025-10-24,674.4670491,676.4710762,673.6594379,675.2546997,,
2025-10-27,680.7185156,683.5202343,680.1103274,683.2211304,,
2025-10-28,685.0257863,686.8802917,682.8123561,685.0357666,,
2025-10-29,686.6908448,687.6679989,680.8581046,685.3648071,687.6679989,
2025-10-30,681.8851036,683.9190714,677.8270874,677.8270874,,
